band_color,band_material,band_width,case_diameter,case_material,case_thickness,discount,img,item_weight,manufacturer,mrp,num_ratings,pay_on_delivery,rating,returnable,sp,title,warranty
,,,,,,-82%,https://m.media-amazon.com/images/I/41-Q8QQcnPL._SY300_SX300_.jpg,,,₹319,"11,628 ratings",True, 3.8 ,True,319,TIMEWEAR Analog Day Date Functioning Stainless Steel Chain Watch for Men,
,,,,,,-30%,https://m.media-amazon.com/images/I/41C+fwJZ9JL._SY300_SX300_.jpg,,, ,"1,082 ratings",True, 4.3 ,True,"2,306",Casio Analog Black Dial Men's Watch-MTP-VT01L-1BUDF (A1615),
,,,,,,,https://m.media-amazon.com/images/I/41q0qbiYW2S._SY300_SX300_.jpg,,, ,"2,603 ratings",True, 4.2 ,True,"1,895",Fastrack Essentials Analog Dial Men's Watch,
,,,,,,-16%,https://m.media-amazon.com/images/I/416v9yZteVL._SY300_SX300_.jpg,,, ,973 ratings,True, 4.3 ,True,"6,430",Titan Neo Iv Analog Black Dial Men's Watch-NL1805NM01/NP1805NM01,
,,,,,,-34%,https://m.media-amazon.com/images/I/41KT1BHfYZL._SX300_SY300_QL70_FMwebp_.jpg,,,"₹2,306.70","5,010 ratings",True, ,True,"2,306",Timex Analog Black Dial Men's Watch-TW000U934,
,,,,,,-37%,https://m.media-amazon.com/images/I/41Ch2jgXeAL._SX300_SY300_QL70_FMwebp_.jpg,,,"₹1,645.00",40 ratings,True, 4.1 ,True,"1,645",Fastrack Analog Black Dial Men's Casual Watch,
,,,,,,-79%,https://m.media-amazon.com/images/I/41SrxS4-vrL._SX300_SY300_QL70_FMwebp_.jpg,,, ,934 ratings,True, 4.1 ,True,310,Acnos® Premium Brand Arrow Blk Arrow Boys Mens Black Wrist Watch for Boys Analog Watch for Men Pack of 1,
,,,,,,-10%,https://m.media-amazon.com/images/I/41iy2A9CJML._SY300_SX300_.jpg,,,₹805,545 ratings,True, 4.1 ,True,805,Fastrack Analog Grey Dial Unisex-Adult Watch-68011PP08/NR68011PP08,
,,,,,,-20%,https://m.media-amazon.com/images/I/41KznuyaQUL._SY300_SX300_.jpg,,, ,"1,203 ratings",True, 4.2 ,True,"2,116",TIMEX Analog Black Dial Men's Watch-TW000R438,
,,,,,,-20%,https://m.media-amazon.com/images/I/41KznuyaQUL._SY300_SX300_.jpg,,, ,"1,203 ratings",True, 4.2 ,True,"2,116",TIMEX Analog Black Dial Men's Watch-TW000R438,
,,,,,,-87%,https://m.media-amazon.com/images/I/51WwV5HfEYL._SY300_SX300_.jpg,,,₹648,107 ratings,True, 4.1 ,True,648,Carlington Watches for Men with Date Display and Premium Leather Strap Men’s Watch (Black/Brown/Green/Tan/White) Colored Dial | Gift for Men | Gift for Rakhi | Gift for Brother | Rakshabandhan Gift,
,,,,,,-14%,https://m.media-amazon.com/images/I/41oPEq3QY5L._SY300_SX300_.jpg,,,₹855,172 ratings,True, 3.9 ,True,855,Fastrack Analog Unisex-Adult Watch,
,,,,,,-10%,https://m.media-amazon.com/images/I/414VdtnDLRL._SY300_SX300_.jpg,,,"₹2,695","1,187 ratings",True, 4.4 ,True,"2,695",Casio Enticer Analog Black Dial Men's Watch-MTP-VD01GL-1EVUDF,
,,,,,,-40%,https://m.media-amazon.com/images/I/41Q5BrPbtrL._SX300_SY300_QL70_FMwebp_.jpg,,,"₹5,997.00","1,110 ratings",True, 4.2 ,True,"5,997",Armani Exchange Analog Black Dial Men's Watch-AX1343,
,,,,,,-10%,https://m.media-amazon.com/images/I/41NdBBeBgkL._SY300_SX300_.jpg,,, ,"11,297 ratings",True, 4.1 ,True,765,Fastrack Analog Unisex-Adult Watch,
,,,,,,-17%,https://m.media-amazon.com/images/I/41Sz6I9KnAL._SY300_SX300_.jpg,,, ,174 ratings,True, 4.3 ,True,"2,695",Titan Black Dial Analog Watch for Men -NR1802SL11,
,,,,,,-20%,https://m.media-amazon.com/images/I/41soYSIdnEL._SY300_SX300_.jpg,,,"₹1,596","1,099 ratings",True, 4.2 ,True,"1,596",Titan Analog White Dial Men's Watch-NL1639SL03/NN1639SL03,
,,,,,,-79%,https://m.media-amazon.com/images/I/41hLTZxXcJL._SY300_SX300_.jpg,,, ,110 ratings,True, 3.6 ,True,375,Shocknshop Analog Black Stainless Steel Chain Wrist Watch for Men Boys (Black Colored Dial Strap),
,,,,,,-30%,https://m.media-amazon.com/images/I/31JruFW1duL._SY300_SX300_.jpg,,, ,34 ratings,True, 4.1 ,True,"3,076",Fastrack Grey Dial Analog Watch for Men -3272NL02,
,,,,,,,https://m.media-amazon.com/images/I/41F88lRIcAL._SY300_SX300_.jpg,,, ,830 ratings,True, 4.2 ,True,549,Sonata White Dial Analog watch For Men-NR7921PP15,
,,,,,,-40%,https://m.media-amazon.com/images/I/511UjYbxLvL._SX300_SY300_QL70_FMwebp_.jpg,,,"₹2,457.00",365 ratings,True, 4.3 ,True,"2,457",Timex Analog Blue Dial Men's Watch-TWHG35SMU08,
,,,,,,-10%,https://m.media-amazon.com/images/I/41-rS4lxW3L._SY300_SX300_.jpg,,, ,"1,564 ratings",True, 4.3 ,True,"2,515",Casio Enticer Analog Black Dial Men's Watch-MTP-VD01L-1EVUDF (A1371),
,,,,,,-82%,https://m.media-amazon.com/images/I/41Mo2gK+zDL._SX300_SY300_.jpg,,,₹355,121 ratings,True, 4.0 ,True,355,Acnos® Premium Square 8 Colours Multi DIAL Strap Analog Silicon Strap ADDI Stylish Designer Analog Watch Combo for Boys Mens Pack of 2,
,,,,,,-79%,https://m.media-amazon.com/images/I/515tyaIhslL._SY300_SX300_QL70_FMwebp_.jpg,,,₹429,342 ratings,True, 4.1 ,True,429,Acnos® Premium Analog Multi-Colour Dial Men's Watch - AN-COMBO-01-02-MINO,
,,,,,,-28%,https://m.media-amazon.com/images/I/41z+P2oWeAL._SY300_SX300_.jpg,,, ,655 ratings,True, 4.3 ,True,"1,836",Titan Autumn-Winter 19 Analog White Dial Men's Watch NM1585SL07/NN1585SL07/NP1585SL07,
,,,,,,-5%,https://m.media-amazon.com/images/I/41nJNb3LBqL._SY300_SX300_.jpg,,, ,873 ratings,True, 4.3 ,True,899,Sonata Analog watch For Men-NR77082SM01,
,,,,,,-5%,https://m.media-amazon.com/images/I/41hG15Y8XDL._SY300_SX300_.jpg,,,₹875,840 ratings,True, 4.2 ,True,875,Sonata Analog White Dial Men's Watch-7135SL03/NP7135SL03,
,,,,,,-34%,https://m.media-amazon.com/images/I/31az9mvuc7L._SY300_SX300_.jpg,,,"₹1,256",477 ratings,True, 4.3 ,True,"1,256",Fastrack Bold Analog White Dial Men's Watch-NL38051SL06/NP38051SL06,
,,,,,,-88%,https://m.media-amazon.com/images/I/5196O9trUrL._SY300_SX300_.jpg,,, ,362 ratings,True, 3.6 ,True,299,"Matrix Black, Blue, White Dial, Day & Date Functioning, Stainless Steel Strap Analog Watch for Men & Women",
,,,,,,,https://m.media-amazon.com/images/I/319WWn2mg+L._SY300_SX300_.jpg,,, ,"1,136 ratings",True, 4.0 ,True,995,Casio Enticer Men Analog White Dial Watch-MQ-27-7BDF (A210),
,,,,,,-15%,https://m.media-amazon.com/images/I/415ekY-kgeL._SY300_SX300_.jpg,,,"₹1,509","4,736 ratings",True, 4.2 ,True,"1,509",Sonata Formal Analog Black Dial Men's Watch NM7924NM01/NN7924NM01,
,,,,,,-78%,https://m.media-amazon.com/images/I/51Nz5iIMG3L._SY300_SX300_.jpg,,, ,426 ratings,True, 3.8 ,True,289,jainx Silicone Strap Black Day and Date Feature Analog Wrist Watch for Men & Boys - JM396,
,,,,,,-20%,https://m.media-amazon.com/images/I/41nclds-EmL._SY300_SX300_.jpg,,, ,"1,483 ratings",True, 4.3 ,True,"2,636",Casio Enticer Analog Dial Watch,
,,,,,,-22%,https://m.media-amazon.com/images/I/414l07ZXtwL._SY300_SX300_.jpg,,, ,233 ratings,True, 4.2 ,True,"1,240",Fastrack Black Dial Analog Watch for Men -NR38058PP03,
,,,,,,-40%,https://m.media-amazon.com/images/I/31e3KheHf8L._SY300_SX300_.jpg,,, ,100 ratings,True, 4.0 ,True,"2,106",Timex Analog Black Dial Men's Watch-TWHG35SMU05,
,,,,,,-29%,https://m.media-amazon.com/images/I/41wYnmm+HaL._SY300_SX300_.jpg,,, ,46 ratings,True, 4.0 ,True,"2,696",Fastrack Analog Black Dial Men's Watch-3287NM01/NR3287NM01,
,,,,,,-70%,https://m.media-amazon.com/images/I/41Y24uryRcL._SX300_SY300_QL70_FMwebp_.jpg,,, ,654 ratings,True, 3.4 ,True,299,SWADESI STUFF Analog Unique Arrow Black Silicon Strap Watch for Men and Boys,
,,,,,,-17%,https://m.media-amazon.com/images/I/51la9sEvvoL._SX300_SY300_QL70_FMwebp_.jpg,,, ,5 ratings,True, 2.0 ,True,765,Fastrack Black Dial Analog Watch for Unisex -38003PP24,
,,,,,,-50%,https://m.media-amazon.com/images/I/51IB5zZkefL._SY300_SX300_.jpg,,,"₹7,547","2,248 ratings",True, 4.4 ,True,"7,547",Fossil Analog Black men Watch FS5164,
,,,,,,-84%,https://m.media-amazon.com/images/I/41VloMir72L._SY300_SX300_.jpg,,, ,"23,597 ratings",True, 3.6 ,True,349,REDUX Analog Boy's & Men's Watch (Blue Dial Blue Colored Strap),
,,,,,,-13%,https://m.media-amazon.com/images/I/31ayabtfFAL._SY300_SX300_.jpg,,, ,"5,392 ratings",True, 4.1 ,True,"1,036",Fastrack Casual Analog White Dial Men's Watch NM3114PP01/NN3114PP01/NP3114PP01,
,,,,,,-85%,https://m.media-amazon.com/images/I/41UKdzu7GyL._SY300_SX300_.jpg,,, ,"1,235 ratings",True, 3.8 ,True,359,LOUIS DEVIN WT005 Stainless Steel Chain Analog Wrist Watch for Men,
,,,,,,-27%,https://m.media-amazon.com/images/I/41PVlN8IrNL._SY300_SX300_.jpg,,, ,815 ratings,True, 4.3 ,True,"3,146",Fastrack Orange Dial Analog Watch For Men -NR38035SP03,
,,,,,,-82%,https://m.media-amazon.com/images/I/41snzcfXPpL._SY300_SX300_.jpg,,, ,"13,846 ratings",True, 3.8 ,True,399,TIMEWEAR Analog Men's Watch (Dial Colored Strap),
,,,,,,-10%,https://m.media-amazon.com/images/I/31PkSJbWV3L._SY300_SX300_.jpg,,, ,"3,476 ratings",True, 4.2 ,True,715,Fastrack Black Dial Analog Watch for Unisex -NR38003PP13W,
,,,,,,-10%,https://m.media-amazon.com/images/I/41iy2A9CJML._SY300_SX300_.jpg,,, ,545 ratings,True, 4.1 ,True,805,Fastrack Analog Grey Dial Unisex-Adult Watch-68011PP08/NR68011PP08,
,,,,,,-4%,https://m.media-amazon.com/images/I/41asoxWq+xL._SY300_SX300_.jpg,,, ,286 ratings,True, 4.2 ,True,"2,875",Titan Neo Analog Grey Dial Women's Watch-2648WL01/NR2648WL01,
,,,,,,,https://m.media-amazon.com/images/I/41QQQpepK6L._SY300_SX300_.jpg,,,"₹5,495",396 ratings,True, 4.4 ,True,"5,495",Titan Black Dial Analog Watch For Men -NR1805NL01,
,,,,,,-10%,https://m.media-amazon.com/images/I/31sFbhco+PL._SY300_SX300_.jpg,,, ,"1,638 ratings",, 4.3 ,"<div data-buying-option-index=""0"" data-csa-c-element-type=""navigational"" data-csa-c-posx=""1"" data-csa-c-type=""uxElement"" data-icon-content=""icon-farm-secondary-view-holder"" data-name=""RETURNS_POLICY"" data-type=""pop-over"" id=""RETURNS_POLICY"" class=""a-column a-span12 a-text-center icon-container scrollable-container celwidget"">   <span class=""a-declarative"" data-action=""a-popover"" data-csa-c-type=""widget"" data-csa-c-func-deps=""aui-da-a-popover"" data-a-popover='{""dataStrategy"":""preload"",""name"":""return-policy-secondary-view"",""activate"":""onclick"",""width"":""533"",""position"":""triggerBottom""}'>                     <div class=""a-section a-spacing-none""> <div alt=""10 days Returnable"" style=""height:35px;width:35px;"" class=""a-image-wrapper a-manually-loaded icon-box"" data-a-image-source=""https://m.media-amazon.com/images/G/31/A2I-Convert/mobile/IconFarm/icon-returns._CB484059092_.png""></div> </div> <div class=""a-section a-spacing-none icon-content""> <span class=""a-size-small a-color-link a-text-normal""> 10 days Returnable </span> </div>      </span>      </div>","1,795",Titan Karishma Analog Black Dial Men's Watch NM1639SM02/NN1639SM02,
,,,,,,-78%,https://m.media-amazon.com/images/I/41-foceMDKL._SY300_SX300_.jpg,,, ,822 ratings,True, 3.7 ,True,329,TIMEWEAR Analog New Track Number Dial Day Date Functioning Leather Strap Watch for Men,
,,,,,,-23%,https://m.media-amazon.com/images/I/41k9u3Vin1L._SY300_SX300_.jpg,,, ,39 ratings,True, 4.0 ,True,"1,836",Fastrack Stunners 4.0 Analog Watch,
